,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
788,477016,Out of Blue,2019-03-22,tt6874254,Unrated,109 min,"Crime, Drama, Mystery",Carol Morley,"Martin Amis (based on the novel by), Carol Morley","James Caan, Patricia Clarkson, Aaron Tveit, Toby Jones","When Detective Mike Hoolihan is called to investigate the shooting of leading astrophysicist and black hole expert, Jennifer Rockwell, she is affected in ways she struggles to comprehend.",English,"UK, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ2OTkzZmEtNDhiZi00YWQ5LWE4MTEtOWFkMjQ3MmE2YzlmXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,4.8,932,,,movie,22 Mar 2019,N/A,IFC Films
789,636661,In the Mind's Eye,2019-03-22,tt8789848,N/A,17 min,"Short, Mystery",Kellen Gibbs,Kellen Gibbs,"Sarah Navratil, Richard Neil, Ernest Pipoly, Julia Parker","Gifted with the ability to extract and inhabit other people's memories, Greer Thompson is forced to question her own reality when she is confronted by a man that she has affected.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmZkMjdjMTEtYjE2MC00ZjBlLTk2NzItYjJkOGE3ZTIxMDhjXkEyXkFqcGdeQXVyMjExOTY4MzM@._V1_SX300.jpg,9.9,13,,,movie,N/A,N/A,N/A
790,633953,Sir,2019-03-22,tt7142506,N/A,99 min,"Drama, Romance",Rohena Gera,Rohena Gera,"Tillotama Shome, Vivek Gomber, Ahmareen Anjum, Amit Chakrabarty","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a tailor.","Hindi, English, Marathi","India, France",7 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BN2ZhMTI3MDctYTlhYy00NjBlLWEyOGEtYzE3MjM4MWFkNmQwXkEyXkFqcGdeQXVyNTA3NTQ4OTg@._V1_SX300.jpg,7.2,714,,,movie,N/A,N/A,Inkpot Films
791,576071,Unplanned,2019-03-21,tt9024106,R,109 min,"Biography, Drama","Chuck Konzelman, Cary Solomon","Abby Johnson (based on the book ""Unplanned"" by), Chuck Konzelman (screenplay by), Cary Solomon (screenplay by)","Ashley Bratcher, Brooks Ryan, Robia Scott, Jared Lotz","All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",English,USA,6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjBiZjEwNDUtNGIzOS00NTI3LWI5OGMtZDZjMjZhZGNhZDhkXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,5.8,"11,036",,,movie,13 Aug 2019,N/A,Pure Flix
792,498062,Luz,2019-07-19,tt7858616,N/A,70 min,"Horror, Mystery, Thriller",Tilman Singer,Tilman Singer (screenplay),"Luana Velis, Johannes Benecke, Jan Bluthardt, Lilli Lorenz","Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. A demonic entity follows her, determined to finally be close to the woman it loves.","German, Spanish",Germany,6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNTMyZWM0ODktNDFkYi00ZDU5LTkxNDEtODJjNDZlYTFhNTkzXkEyXkFqcGdeQXVyNTU4NDM4MDU@._V1_SX300.jpg,5.5,940,,,movie,N/A,N/A,Screen Media Films
793,441384,The Beach Bum,2019-03-29,tt6511932,R,95 min,Comedy,Harmony Korine,Harmony Korine,"Matthew McConaughey, Snoop Dogg, Isla Fisher, Stefania LaVie Owen",A rebellious stoner named Moondog lives life by his own rules.,"English, Spanish","Switzerland, UK, France, USA",5 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3MDUzMTAzOV5BMl5BanBnXkFtZTgwNDk3ODQyNzM@._V1_SX300.jpg,5.5,"13,163",,,movie,18 Jun 2019,N/A,NEON
794,579389,Thirst for Power,2019-03-21,tt6500058,N/A,N/A,"Short, Horror",Luke Novella,N/A,N/A,N/A,English,USA,N/A,N/A,N/A,N/A,,,movie,N/A,N/A,N/A
795,601629,#blessed,2019-03-20,tt0390450,R,98 min,"Drama, Horror, Thriller",Simon Fellows,"Robert Mearns (story), Jayson Rothwell","Heather Graham, James Purefoy, Fionnula Flanagan, Alan McKenna",A fertility clinic visit becomes an unfathomable nightmare for a woman who's impregnated with the devil's DNA.,"English, Italian","Romania, UK",N/A,https://m.media-amazon.com/images/M/MV5BYjVjNDM1OTQtN2JjOC00MTIyLTk0YWQtYTRmMTdjMmI0MTZlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,4.2,"2,020",,,movie,14 Dec 2004,N/A,Storm Pictures
796,589795,PawParazzi,2019-03-19,tt7188014,G,97 min,Family,Ari Novak,Tiziano Tucci (screenwriter),"Sara Fletcher, Russell Bradley Fenton, Richard Riehle, Jay Mohr","London Bridges, a fast rising Hollywood starlet, with her pampered pomeranian Latte in tow, arrives on location for ""There Will Be Oil"" to see that she won't be receiving the star treatment she is used to.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmRjMTg1MTYtYmY4MS00NWRkLWJhOTQtZTY1ZjhiNWQ0YjQxXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,3.9,32,,,movie,N/A,N/A,N/A
797,449985,Triple Threat,2019-03-19,tt6643972,R,96 min,"Action, Thriller",Jesse V. Johnson,"Joey O'Bryan, Fangjin Song (Writer), Paul Staheli","Tony Jaa, Tiger Hu Chen, Iko Uwais, Scott Adkins","When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.","English, Mandarin, Thai","Thailand, China, USA",N/A,https://m.media-amazon.com/images/M/MV5BYTY1MjRhYmYtZDg4Yy00ZWRiLWIwYzktZThkY2E0YjZlNjgxXkEyXkFqcGdeQXVyMTc3MjY3NTY@._V1_SX300.jpg,5.5,"7,485",,,movie,22 Mar 2019,N/A,Well Go USA Entertainment
798,532649,Book of Monsters,2019-03-19,tt7260818,Unrated,84 min,"Action, Comedy, Horror",Stewart Sparke,Paul Butler,"Lyndsey Craine, Michaela Longden, Lizzie Aaryn-Stanton, Daniel Thrace",Sophie's 18th birthday becomes a bloodbath when monsters descend upon her house and start to devour the party guests. Sophie and her friends must rally together to send their party crashers...,English,UK,7 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYWFlNTZjNzgtMjZmZC00N2NjLTlmZTctYTQyN2EwOTRmOWZlXkEyXkFqcGdeQXVyOTMzOTMzMTg@._V1_SX300.jpg,4.8,"1,365",,,movie,19 Mar 2019,N/A,Epic Pictures
801,619314,Marriage,2019-03-17,tt0037332,N/A,64 min,Comedy,Isidor Annensky,"Anton Chekhov (play), Isidor Annensky","Aleksei Gribov, Faina Ranevskaya, Zoya Fyodorova, Erast Garin",N/A,"Russian, Georgian",Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BNjcyYjRlZWQtZmM5Zi00NjI5LWJmYmUtN2E2OTdiZDU1ZWU5XkEyXkFqcGdeQXVyMTEwNTQxMjQ@._V1_SX300.jpg,8.2,244,,,movie,N/A,N/A,N/A
802,641271,Kate in Oxnard,2019-03-16,tt8430632,N/A,19 min,"Short, Drama",Emily Tomson,Emily Tomson,"Audrey Corsa, Daniel Ahearn, Tara Karsian, Lauren Blumenfeld","Kate moves to a small coastal town for a bar-tending job, anticipating a summer of freedom. What she finds instead is less idyllic, and she comes to realize she's much more vulnerable than she thought.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTU2ZTA0YTctMjhiNC00NDljLTg1MmQtZTMxNTBiNWJmZmU2XkEyXkFqcGdeQXVyNjU4MDAyNzU@._V1_SX300.jpg,7.6,11,,,movie,N/A,N/A,N/A
803,627229,The Sound of a Wild Snail Eating,2019-03-16,tt10795280,N/A,15 min,"Short, Action",Elisabeth Tova Bailey,Elisabeth Tova Bailey (Writer),"Neohelix Albolabris, Daryl Hannah, Ariela Kuh","When a woman is bedridden by a mysterious pathogen, a snail takes up residence on her nightstand; together, they share an intimate journey of survival and resilience, expanding the boundaries of the bedroom.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzA3MTJlMWQtNDQzNS00Y2E5LWJlZDktM2UzYTcyMDk1MjkwXkEyXkFqcGdeQXVyMTkyMTMwMTQ@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
804,600348,Volition,2019-03-15,tt6385952,N/A,91 min,"Sci-Fi, Thriller",Tony Dean Smith,"Tony Dean Smith, Ryan W. Smith","Adrian Glynn McMorran, Magda Apanowicz, John Cassini, Frank Cassini",A man afflicted with clairvoyance tries to change his fate when a series of events leads to a vision of his own imminent murder.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGZmNThmMmMtYjg3NC00MzIwLTg3ZTUtODc2NTAxYTI3YjVmXkEyXkFqcGdeQXVyMjgyNDk1MzE@._V1_SX300.jpg,7.7,15,,,movie,N/A,N/A,Smith Brothers Film
805,527641,Five Feet Apart,2019-03-15,tt6472976,PG-13,116 min,"Drama, Romance",Justin Baldoni,"Mikki Daughtry, Tobias Iaconis","Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.","English, French",USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNzVmMjJlN2MtNWQ4Ny00Zjc2LWJjYTgtYjJiNGM5MTM1ZTlkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,7.2,"27,598",,,movie,11 Jun 2019,N/A,CBS Films
806,577721,Superpower Dogs,2019-03-15,tt5629084,G,47 min,Documentary,Daniel Ferguson,Daniel Ferguson,"Chris Evans, Max Ivutin, Ricochet, Dayna Hilton",Discover the life-saving superpowers and extraordinary bravery of some of the world's most remarkable dogs.,English,UK,6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTY5MzM2MzkxNF5BMl5BanBnXkFtZTgwNTMzMDcyNzM@._V1_SX300.jpg,7.9,137,,,movie,N/A,N/A,Cosmic Picture
807,537681,Giant Little Ones,2019-03-15,tt4481066,R,93 min,Drama,Keith Behrman,Keith Behrman,"Josh Wiggins, Darren Mann, Taylor Hickson, Maria Bello","Two popular teen boys, best friends since childhood, discover their lives, families, and girlfriends dramatically upended after an unexpected incident occurs on the night of a 17th birthday party.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZTEzOTY4YTUtYjZjZC00Mjc0LTlmMzMtM2Q4N2YyNWVmM2EzXkEyXkFqcGdeQXVyODk0OTcwMTk@._V1_SX300.jpg,7.2,"2,747",,,movie,N/A,N/A,N/A
808,514586,Photograph,2019-05-17,tt7778680,PG-13,110 min,"Drama, Romance",Ritesh Batra,Ritesh Batra,"Nawazuddin Siddiqui, Sanya Malhotra, Sachin Khedekar, Denzil Smith","A struggling street photographer in Mumbai, pressured to marry by his grandmother, convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.","Hindi, Gujarati, English","Germany, India, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjMzNDMzMTU0NV5BMl5BanBnXkFtZTgwNDI5NTYyNzM@._V1_SX300.jpg,6.9,"2,609",,,movie,16 Aug 2019,N/A,Amazon Studios
809,554596,No manches Frida 2,2019-03-15,tt9019352,R,102 min,Comedy,Nacho G. Velilla,"Claudio Herrera, David S. Olivas, Sergio 'Venado' Sanchez","Martha Higareda, Omar Chaparro, Itatí Cantoral, Aarón Díaz",Zequi tries to regain Lucy's love by bringing the school's team to victory.,Spanish,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmU0ZDI1MDctODBiZi00ZTg3LWFiZmUtMmFkMzYyYzc4ZDkxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,4.0,656,,,movie,18 Jun 2019,N/A,Pantelion Films
810,500860,The Mustang,2019-03-15,tt5952594,R,96 min,Drama,Laure de Clermont-Tonnerre,"Mona Fastvold, Brock Norman Brock, Laure de Clermont-Tonnerre","Matthias Schoenaerts, Jason Mitchell, Bruce Dern, Gideon Adlon","The story of Roman Coleman, a violent convict, who is given the chance to participate in a rehabilitation therapy program involving the training of wild mustangs.",English,"France, Belgium",3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNDkwYzBjOTItYTFhZC00ZWZlLTg1YzYtZWU4ZGZhZWI0MmNkXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,6.9,"6,915",,,movie,11 Jun 2019,N/A,Focus Features
811,500682,The Highwaymen,2019-03-15,tt1860242,R,132 min,"Biography, Crime, Drama, Mystery, Thriller",John Lee Hancock,John Fusco,"Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch",The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"English, Spanish",USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BZmM5Y2QzOGQtNTdjZS00NDVhLThkYjItZjZiMjk4YjM0ZTUzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,6.9,"58,963",,,movie,29 Mar 2019,N/A,Netflix
812,519473,Nancy Drew and the Hidden Staircase,2019-03-15,tt8323104,PG,89 min,"Comedy, Crime, Drama, Family, Mystery",Katt Shea,"Nina Fiore (screenplay by), John Herrera (screenplay by), Mildred Wirt Benson (based on the novel by)","Sophia Lillis, Zoe Renee, Mackenzie Graham, Andrea Anders","A bit of an outsider struggling to fit into her new surroundings, Nancy and her pals set out to solve a mystery, make new friends, and establish their place in the community.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjEzOGU3YjQtODA4My00ZTVjLWJjNWEtY2JkNTRlNzY3YmY4XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,5.7,"2,354",,,movie,02 Apr 2019,N/A,Warner Bros.
813,433499,Finding Steve McQueen,2019-03-15,tt6032328,R,91 min,"Crime, Romance",Mark Steven Johnson,"Ken Hixon, Keith Sharon","Travis Fimmel, Rachael Taylor, Forest Whitaker, William Fichtner","In 1972, a gang of close-knit thieves from Youngstown, Ohio attempt to steal $30 million in illegal contributions and blackmail money from President Richard Nixon's secret fund.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGIwMzhjMzktY2QyMi00Nzc0LThjMGYtMGYxN2UxMWZjODliXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,6.2,"2,868",,,movie,15 Mar 2019,N/A,Momentum Pictures
814,489243,The Hummingbird Project,2019-03-15,tt6866224,R,111 min,"Drama, Thriller",Kim Nguyen,Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando",A pair of high-frequency traders go up against their old boss in an effort to make millions in a fiber-optic cable deal.,"English, Spanish, Hebrew, Italian","Canada, Belgium",2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTA2MDM2OTMzODNeQTJeQWpwZ15BbWU4MDgxNjExMjcz._V1_SX300.jpg,6.2,"8,098",,,movie,25 Jun 2019,N/A,The Orchard
815,498743,Never Grow Old,2019-03-15,tt1158939,R,100 min,"Drama, Western",Ivan Kavanagh,Ivan Kavanagh,"Emile Hirsch, John Cusack, Déborah François, Molly McCann","An Irish undertaker profits when outlaws take over a peaceful American frontier town, but his family comes under threat as the death toll rises.","English, Italian","Ireland, Belgium, France, Luxembourg, UK",N/A,https://m.media-amazon.com/images/M/MV5BMTY0OTIwNzI4NF5BMl5BanBnXkFtZTgwMTI3Mjk0NzM@._V1_SX300.jpg,5.8,"2,090",,,movie,15 Mar 2019,N/A,Saban Films
816,429471,Captive State,2019-03-15,tt5968394,PG-13,109 min,"Drama, Sci-Fi, Thriller",Rupert Wyatt,"Erica Beeney, Rupert Wyatt","John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga","Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTgyNjU0NTAxOV5BMl5BanBnXkFtZTgwNTc4MDIzNjM@._V1_SX300.jpg,6.0,"41,446",,,movie,11 Jun 2019,N/A,Focus Features
817,593067,Los Ajenos Fútbol Club,2019-03-15,tt10500440,N/A,N/A,Comedy,Juan Camilo Pinzon,"Juan Camilo Pinzon (Screenplay by), Juan Camilo Pinzon","Alberto Barrero, Salvatore Basile, Zharick León, Valentina Lizcano",N/A,English,Colombia,N/A,https://m.media-amazon.com/images/M/MV5BZTRmOThiYTctYTNiZi00MjUzLTg5M2EtNmUyMzhkMDU0ZTY3XkEyXkFqcGdeQXVyNDgxNzUzNDU@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
818,586817,BRUCE!!!,2019-03-15,tt0315327,PG-13,101 min,"Comedy, Drama, Fantasy",Tom Shadyac,"Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)","Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,"English, Spanish",USA,7 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNzMyZDhiZDUtYWUyMi00ZDQxLWE4NDQtMWFlMjI1YjVjMjZiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,6.7,"353,689",,,movie,25 Nov 2003,"$242,589,580",Universal Pictures
819,581998,"Faith, Hope & Love",2019-03-15,tt8310924,PG,106 min,"Comedy, Romance","J.J. Englert, Robert Krantz",Robert Krantz,"Peta Murgatroyd, Robert Krantz, Michael Richards, Corbin Bernsen","Recent divorcee Faith enters a dance contest to save her dance studio, where she meets Jimmy Hope and rediscovers her faith and dreams.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BOTRlM2YwYWUtOWI1MC00OTc3LTgwOTgtYjJkZmNiYTExNDJhXkEyXkFqcGdeQXVyMzI2MzMzMA@@._V1_SX300.jpg,6.7,49,,,movie,N/A,N/A,ArtAffects Entertainment
820,416144,Hotel Mumbai,2019-03-22,tt5461944,R,123 min,"Drama, History, Thriller",Anthony Maras,"John Collee, Anthony Maras","Amandeep Singh, Suhail Nayyar, Manoj Mehra, Dinesh Kumar",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,"English, Hindi, Punjabi, Marathi, Greek, Russian, Arabic, Urdu, Persian","Australia, USA, UK, India, Singapore",7 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BYTJlZWY2YjYtZGIxMy00MDEwLTliNzMtZGM3MDQ1NzlmNDY1XkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg,7.6,"38,513",,,movie,18 Jun 2019,N/A,Bleecker Street
821,458723,Us,2019-03-22,tt6857112,R,116 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,English,"USA, Japan",46 wins & 92 nominations.,https://m.media-amazon.com/images/M/MV5BZTliNWJhM2YtNDc1MC00YTk1LWE2MGYtZmE4M2Y5ODdlNzQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,6.9,"173,835",,,movie,18 Jun 2019,N/A,Universal Pictures
822,400157,Wonder Park,2019-03-15,tt6428676,PG,85 min,"Animation, Adventure, Comedy, Family, Fantasy",Dylan Brown,"Josh Appelbaum (screenplay by), André Nemec (screenplay by), Robert Gordon (story by), Josh Appelbaum (story by), André Nemec (story by)","Sofia Mali, Jennifer Garner, Ken Hudson Campbell, Kenan Thompson",Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,English,"Spain, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjI5MTQ5NzE4Nl5BMl5BanBnXkFtZTgwNTk2MDA5NjM@._V1_SX300.jpg,5.8,"7,197",,,movie,18 Jun 2019,N/A,Paramount Animation
823,611329,Breathe,2019-03-14,tt5716464,PG-13,118 min,"Biography, Drama, Romance",Andy Serkis,William Nicholson (screenplay),"Andrew Garfield, Claire Foy, Ed Speleers, Tom Hollander","The inspiring true love story of Robin and Diana Cavendish, an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis.","English, German, Spanish",UK,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTg1OTcxNjU1MV5BMl5BanBnXkFtZTgwMzcwMTQ3MzI@._V1_SX300.jpg,7.1,"16,383",,,movie,02 Jan 2018,"$475,685",Bleecker Street / Participant Media.
825,573896,Patterns of Evidence: The Moses Controversy,2019-03-14,tt10027696,N/A,140 min,Documentary,Timothy Mahoney,"Steven Law, Timothy Mahoney","Michael Shelomo Bar-Ron, William G. Dever, Manis Friedman, Duane Garrett",A filmmaker searches for scientific evidence that Moses wrote the first books of the Bible.,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA0NzQxNTk2N15BMl5BanBnXkFtZTgwMDU2NzU2NzM@._V1_SX300.jpg,8.0,17,,,movie,N/A,N/A,N/A
827,587332,Avenues,2019-03-12,tt4876096,N/A,76 min,"Comedy, Drama",Michael Angarano,Michael Angarano,"Michael Angarano, Nicholas Braun, Ari Graynor, Adelaide Clemens","On his birthday following the suicide of his brother, Max and his friend Peter wander the wintry streets of Manhattan contemplating life, livelihood, and what it means to be an adult.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWFlY2U2ZWYtYjFjMy00ZmRlLWI4NDctYmQyZmRkMzE3NThkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,6.1,59,,,movie,N/A,N/A,N/A
828,633524,Acts of Desperation,2019-03-12,tt3219686,N/A,105 min,Thriller,Richard Friedman,Nathan Illsley,"Jason Gedrick, Paul Sorvino, Chris Coppola, Neraida Bega","A desperate cop on the edge is obsessed over the fact that his beautiful but desperate wife is having an affair. At the same time, he tracks a desperately shrewd bank robber who is falling ...",English,USA,7 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNWE2ZDNiOGItMzQxZi00ZTUzLTg0MjktYTI2NDQ3MDlhZGMxXkEyXkFqcGdeQXVyMjQyNzk3MDg@._V1_SX300.jpg,4.6,44,,,movie,N/A,N/A,N/A
829,601656,Daisy Derkins vs. The Bloodthirsty Beast of Barren Pines!,2019-03-12,tt2061630,N/A,90 min,Horror,Mark Mackner,Mark Mackner,"Mary Sack, Dahlia DeSade, J.D. Korejko, Gia Z. Taylor","Monster-slaying hero Daisy Derkins ventures into the woods to deal with a carnivorous dinosaur, and runs afoul of a touring punk band, a manic bounty hunter, a trio of voluptuous female ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOThhMDljNWQtN2QxYS00MTIyLWEyZmMtNzcwYjE2YzM1MzdmXkEyXkFqcGdeQXVyMjE0NTYzMTA@._V1_SX300.jpg,4.6,36,,,movie,N/A,N/A,N/A
830,517109,Hunting Lands,2019-03-12,tt6206364,N/A,N/A,Drama,Zack Wilcox,"Josh Amato (story), Zack Wilcox (story), Zack Wilcox","Marshall Cook, Joe Raffa, Keyna Reynolds, Kaleb Rittenhouse",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzg0MjAyYTItNzZlYi00Yzk1LThkODItZjI3N2QyZTkzZDc2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU4MDQwNjk@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
831,596112,Adonis Complex,2019-03-11,tt8887784,N/A,76 min,"Horror, Thriller",Chad Werner,"Emily Hiott (story), Chad Werner (story), Chad Werner","Kasey Givens, Emily Hiott, Brady Burleson Johnson, Tyler Johnson",A group of friends rent an isolated lake house owned by a fitness obsessed man with mysterious intentions.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTRhMjgzOTAtZTBhZi00ZmNkLWFjMDItOWYxZjAzNmMyNWQzXkEyXkFqcGdeQXVyMjMzOTMxMzY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
832,644530,Washed,2019-03-10,tt9012662,N/A,N/A,N/A,N/A,N/A,"Corey, Corey Pratt, Nadirah Shakir, Jaquai Wade","A conflicted young professional wakes up on his 30th birthday in the midst of a quarter-life crisis. Perplexed at how he went to sleep one day next to a trap house and woke up #WASHED (up),...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWMxMjU4ZDAtZDhkNy00NzM5LThjZWItODk1Nzc1MjJlOTBkXkEyXkFqcGdeQXVyOTI2MDI2MjE@._V1_SX300.jpg,N/A,N/A,,,series,,,
833,645463,Strong Bonds,2019-03-10,tt9423160,N/A,10 min,"Short, Comedy",Anna Alekhina,Anna Alekhina,"Daniel Berlingeri, Christopher Cassarino, Olivia Hebert","Over the course of a summer barbecue, Darren realizes that he and his girlfriend's brother may have a little too much in common.",English,USA,N/A,N/A,N/A,N/A,,,movie,N/A,N/A,N/A
834,542164,Groupers,2019-03-09,tt5891260,N/A,109 min,"Comedy, Drama",Anderson Cowan,Anderson Cowan,"Nicole Dambro, Peter Mayer-Klepchick, Cameron Duckett, Jesse Pudles",A grad student kidnaps two homophobic high-school bullies to use as her subjects in an experiment performed at the bottom of an empty swimming pool.,English,USA,4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYzEzMGE2MDYtZDBhMS00YzQwLWFlNjctOTYyYmIzMGZkYzM3XkEyXkFqcGdeQXVyNTcwMzkyNDE@._V1_SX300.jpg,4.5,220,,,movie,N/A,N/A,N/A
835,611908,Wakey Wakey,2019-03-09,tt2342421,N/A,63 min,"Drama, Mystery, Thriller",Adrian Goodman,Adrian Goodman,"Laura Wheelwright, Fabiana Weiner, Shane Nagle, Laura Lattuada","Teen Josie tries to make sense of a frightening world in which a sleep condition blurs her dreams into waking life, and comes under the sway of her sister Samantha, whose dark web of secrets she must unravel.",English,Australia,4 wins.,https://m.media-amazon.com/images/M/MV5BMTYyMzMyNTUxMF5BMl5BanBnXkFtZTgwNTY3OTk2MDE@._V1_SX300.jpg,5.3,53,,,movie,N/A,N/A,N/A
836,576568,Come As You Are,2019-03-09,tt1753887,N/A,115 min,"Comedy, Drama",Geoffrey Enthoven,"Pierre De Clercq, Asta Philpot (original idea), Mariano Vanhoof (story)","Charlotte Timmers, Roos Van Vlaenderen, Robrecht Vanden Thoren, Karel Vingerhoets",Three guys in their twenties love wine and women but they are still virgins. Under the guise of a wine tour they embark on a journey to Spain hoping to have their first sexual experience. ...,"Dutch, Flemish, French, English, Spanish",Belgium,11 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BNTUzOTc1MzU2N15BMl5BanBnXkFtZTcwODIyMDY1OQ@@._V1_SX300.jpg,7.4,"6,753",,,movie,N/A,N/A,Fobic Films
837,660097,Regulation,2019-03-09,tt8984420,N/A,11 min,"Short, Drama, Sci-Fi",Ryan Patch,Ryan Patch,"Audrey Bennett, Tessa Drake, Sunita Mani","""Every child has the right to be happy - by law."" are the words of a future social worker, forcing a happy patch/micro doser on a girl, living isolated with her mom.",English,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BYjA1ODllNmEtODBiMC00YWI3LTlmZjEtNzA2N2YzYzEzNTQ5XkEyXkFqcGdeQXVyODU5MTY2MzU@._V1_SX300.jpg,7.8,17,,,movie,N/A,N/A,N/A
